"GISJOIN","Geography","Y90Total","Y90A25to44","Y90A25to59","Y00Total","Y00A25to44","Y00A25to59","Y10total","Y10A25to44","Y10A25to59","place"
"G08042495","Lakeside town, Colorado",11,2,3,20,4,10,8,2,4,"42495"
"G08043000","Lakewood city, Colorado",126481,44789,66783,144126,46763,74786,142980,38667,70463,"43000"
"G08043110","Lamar city, Colorado",8343,2443,3558,8869,2312,3743,7804,1817,3267,"43110"
"G08043220","Laporte CDP, Colorado",NA,NA,NA,2691,860,1450,2450,609,1281,"43220"
"G08043550","Larkspur town, Colorado",232,86,122,234,71,130,183,37,104,"43550"
"G08043605","La Salle town, Colorado",1783,578,841,1849,513,875,1955,519,907,"43605"
"G08043660","Las Animas city, Colorado",2481,631,990,2758,661,1159,2410,486,981,"43660"
"G08044100","La Veta town, Colorado",726,204,302,924,231,462,800,131,344,"44100"
"G08044270","Lazy Acres CDP, Colorado",NA,NA,NA,NA,NA,NA,920,182,492,"44270"
"G08044320","Leadville city, Colorado",2629,901,1292,2821,970,1478,2602,827,1400,"44320"
"G08044375","Leadville North CDP, Colorado",1757,655,915,1942,631,957,1794,523,913,"44375"
"G08044595","Lewis CDP, Colorado",NA,NA,NA,NA,NA,NA,302,60,147,"44595"
"G08044695","Leyner CDP, Colorado",NA,NA,NA,NA,NA,NA,29,1,8,"44695"
"G08044980","Limon town, Colorado",1831,505,781,2071,579,899,1880,431,828,"44980"
"G08045145","Lincoln Park CDP, Colorado",3728,886,1511,3904,874,1649,3546,632,1442,"45145"
"G08045255","Littleton city, Colorado",33685,11223,16874,40340,12146,20295,41737,10680,20477,"45255"
"G08045530","Lochbuie town, Colorado",1168,361,562,2049,675,990,4726,1608,2400,"45530"
"G08045680","Loghill Village CDP, Colorado",NA,NA,NA,311,62,174,521,58,230,"45680"
"G08045695","Log Lane Village town, Colorado",667,212,284,1006,300,441,873,220,385,"45695"
"G08045750","Loma CDP, Colorado",NA,NA,NA,NA,NA,NA,1293,315,637,"45750"
"G08045955","Lone Tree city, Colorado",NA,NA,NA,4873,1683,2907,10218,2738,5347,"45955"
"G08045970","Longmont city, Colorado",51555,18622,25686,71093,23553,36525,86270,24326,42901,"45970"
"G08046355","Louisville city, Colorado",12361,6048,7196,18937,6736,10738,18376,4698,9898,"46355"
"G08046410","Louviers CDP, Colorado",NA,NA,NA,237,57,121,269,53,137,"46410"
"G08046465","Loveland city, Colorado",37352,12577,17490,50608,15511,24877,66859,17598,31893,"46465"
"G08047015","Lynn CDP, Colorado",NA,NA,NA,NA,NA,NA,12,0,3,"47015"
"G08047070","Lyons town, Colorado",1227,515,666,1585,575,952,2033,627,1152,"47070"
